Time (HH:mm:ss),Time (GPS ns),UTC offset (s),Time from start of file (s),Latitude (deg),Longitude (deg),Altitude (m),Velocity north (m/s),Velocity east (m/s),Velocity down (m/s),Acceleration Xv (m/s²),Acceleration Yv (m/s²),Acceleration Zv (m/s²),Heading (deg),Pitch (deg),Roll (deg),Velocity up (m/s)
20:46:01,1302122779201000000,-18,512.204000000,37.4279361253478,-122.183082434496,8.05411148071289,-0.0042,0.0036,-0.0028,-0.0085,1.2446,-11.5337,26.6135458091497,0.0175325085310032,-0.403304991992586,0.0028
20:46:02,1302122780201000000,-18,513.204000000,37.4279361076823,-122.183082425168,8.0565185546875,-0.0028,-0.0055,0.0003,-0.0094,3.165,-10.4307,26.6232287958874,0.0189649030188302,-0.407372992338015,-0.0003
20:46:03,1302122781201000000,-18,514.204000000,37.4279361005125,-122.183082437809,8.06025791168213,-0.0078,0.0009,-0.0012,-0.007,1.0734,-3.3578,26.6355473884827,0.0180481705466209,-0.411784767360523,0.0012
20:46:04,1302122782201000000,-18,515.204000000,37.4279360657557,-122.183082472841,8.06374263763428,-0.0048,-0.0015,0.0032,0.0228,-0.8819,-6.4427,26.6408186001979,0.0202827059476311,-0.412243133596627,-0.0032
20:46:05,1302122783201000000,-18,516.204000000,37.4279360766737,-122.183082536098,8.06030750274658,0.0018,-0.0092,-0.004,-0.0236,2.0162,-10.7797,26.6436833891735,0.0217151004354582,-0.413503640745915,0.004
20:46:06,1302122784201000000,-18,517.204000000,37.4279361163011,-122.183082527159,8.05511951446533,0.0012,-0.0025,0.0011,0.0133,-1.1286,-14.2496,26.6462044034721,0.0242934105135469,-0.409894006636591,-0.0011
20:46:07,1302122785201000000,-18,518.204000000,37.4279360865379,-122.183082474776,8.05527305603027,0.0024,-0.0025,-0.0042,-0.018,0.9695,-13.6472,26.6514183194078,0.0248663683086777,-0.403591470890152,0.0042
20:46:08,1302122786201000000,-18,519.204000000,37.4279360115525,-122.183082459324,8.06495571136475,0.0005,0,0.0008,0.002,-1.3672,-5.2606,26.6546268830605,0.0332315521175877,-0.402044484843299,-0.0008
20:46:09,1302122787201000000,-18,520.204000000,37.4279359736842,-122.183082485354,8.07320117950439,-0.0026,0.0044,-0.0017,0.0191,0.2741,-7.3018,26.6603564610118,0.0348931297234671,-0.410753443329287,0.0017
20:46:10,1302122788201000000,-18,521.204000000,37.4279359985797,-122.18308247641,8.07065486907959,-0.0004,0.0005,-0.0097,-0.0105,-1.287,-11.5974,26.6739355607564,0.034778538164441,-0.409206457282434,0.0097
20:46:11,1302122789201000000,-18,522.204000000,37.4279360386437,-122.183082459974,8.06454944610596,-0.0001,0.0055,-0.0059,-0.0274,3.8312,-9.0551,26.6893481254455,0.0297938053468028,-0.412185837817114,0.0059
20:46:12,1302122790201000000,-18,523.204000000,37.4279360364958,-122.183082467399,8.0654296875,0.0022,0.0036,-0.0019,-0.0036,-0.1275,-14.3052,26.7020104927179,0.0316845660707345,-0.415680880367412,0.0019
20:46:13,1302122791201000000,-18,524.204000000,37.4279360083158,-122.183082474655,8.07104015350342,0.0057,0.003,0.0006,-0.0003,0.7667,-13.0102,26.7106621554243,0.0348931297234671,-0.417743528429883,-0.0006
20:46:14,1302122792201000000,-18,525.204000000,37.4279360134684,-122.18308247279,8.06811904907227,0.01,-0.0027,0.0007,0.0336,-3.1521,-5.4243,26.7056774226067,0.0341482845897971,-0.415107922572281,-0.0007
20:46:15,1302122793201000000,-18,526.204000000,37.4279360469484,-122.183082460452,8.06098556518555,0.0094,0.0037,0.0082,-0.0128,-0.9843,-4.5052,26.7031564083081,0.0339191014717447,-0.411899358919549,-0.0082
